date,forecast,lower_bound,upper_bound
2025-09-01,10954.149939978397,7992.239017739196,14094.620557346005
2025-09-02,14293.949723103637,11205.672125158751,17469.61470337585
2025-09-03,14368.318591390691,11062.629491544343,17346.193897091263
2025-09-04,13007.349219101185,9990.335676172266,16234.91887531573
2025-09-05,12415.862352611159,9274.078082441412,15550.854849652049
2025-09-06,2837.875824487365,0.0,5589.279909670447
2025-09-07,6390.328667228334,3268.080914673111,9574.370429103179
2025-09-08,11012.080341596351,8018.805265686451,14136.554988724827
2025-09-09,14391.670384407013,11214.757099737963,17384.189750345075
2025-09-10,14486.429352654044,11436.687632484565,17838.720391280367
2025-09-11,13136.413913691958,9861.650384325647,16224.763475934264
2025-09-12,12558.693188132493,9685.42994302533,15554.920259260654
2025-09-13,2938.5653303931344,28.814206230587946,6087.64808656529
2025-09-14,6523.758278865628,3095.74860688455,9774.77592419765
2025-09-15,11180.969288075292,8057.406698237607,14341.44154092193
2025-09-16,14584.764184601167,11563.792165970015,17518.33797918938
2025-09-17,14680.323243751383,11457.344717923368,17905.88768487342
2025-09-18,13318.744411392949,10358.406156487086,16537.91023428996
2025-09-19,12730.506340864042,9565.04373617755,15736.599523316221
2025-09-20,3043.388677423251,0.0,6076.738197384005
2025-09-21,6637.104350441576,3253.0714068378943,9803.574543570647
2025-09-22,11307.334595869786,8367.871794905028,14442.447829872921
2025-09-23,14715.724797259501,11451.868088676505,17733.80467282404
2025-09-24,14796.22552448336,11510.513089758859,17888.708823582845
2025-09-25,13411.7287322425,10109.12166631701,16529.79993409385
2025-09-26,12806.678176452373,9860.997467082396,15858.111154503427
2025-09-27,3051.6709700552406,34.456740521893465,6038.0338107550115
2025-09-28,6658.50669393612,3542.8419159066184,9920.494676830709
2025-09-29,11351.711479288373,8226.99571617484,14586.382972276997
2025-09-30,14779.632613186643,11895.83278101204,18135.16285730492
