date,forecast,lower_bound,upper_bound
2025-09-01,10267.155888008665,7787.137911339275,12844.851232630901
2025-09-02,9187.727528158808,6639.807138491935,11812.789151679186
2025-09-03,9075.022986063626,6656.235658384422,11530.64764308402
2025-09-04,7792.101110765122,5305.265136570839,10376.997323516085
2025-09-05,7949.89403883512,5540.126504842607,10492.55142450567
2025-09-06,601.3806070764444,0.0,2973.2255379051157
2025-09-07,488.3059392707187,0.0,2967.2422896525804
2025-09-08,10384.262561071115,7964.723435254579,12896.952433017941
2025-09-09,9292.351817581222,6829.214942358536,11866.4587381578
2025-09-10,9178.196025379126,6621.836659097727,11553.27463762653
2025-09-11,7880.545093689211,5045.697190794761,10283.659459551873
2025-09-12,8039.982966332552,5523.136572773364,10621.93929183613
2025-09-13,608.1844926046415,0.0,3161.2020916894185
2025-09-14,493.8216085915403,0.0,2952.787208246512
2025-09-15,10501.369234131003,8080.450883179531,12875.2120903599
2025-09-16,9396.976107008328,6909.8317954115355,11827.267307374994
2025-09-17,9281.36906470022,6792.617125664614,11855.78357506994
2025-09-18,7968.989076600453,5382.773592597911,10397.521224308697
2025-09-19,8130.07189383326,5784.268962536994,10590.006800665611
2025-09-20,614.9883781140877,0.0,3130.680727867351
2025-09-21,499.3372779228963,0.0,2907.622731847865
2025-09-22,10618.475907192986,8198.28653606364,13013.919781683382
2025-09-23,9501.600396435933,7087.885512308441,11886.853954949684
2025-09-24,9384.54210400939,6830.282777925799,11911.889321812461
2025-09-25,8057.433059514358,5532.588348397893,10449.95057928697
2025-09-26,8220.160821308169,5716.004304805497,10630.172074188144
2025-09-27,621.7922636482709,0.0,3089.6457971379928
2025-09-28,504.85294726386616,0.0,2980.92774568033
2025-09-29,10735.582580290562,8216.243632257749,13015.742219820357
2025-09-30,9606.224685874196,7149.701659198561,12063.985697257194
